Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:43:26,2023-03-05 22:43:28,2.444s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:43:28,2023-03-05 22:43:31,2.391s,PASSED
"setText(findTestObject(""Object Repository/Page_Faktoriall/input_Kalkulator Faktorial_input""), """")",Chrome 110.0.0.0,,,2023-03-05 22:43:31,2023-03-05 22:43:31,0.881s,PASSED
"click(findTestObject(""Object Repository/Page_Faktoriall/button_Hitung                              _be4487""))",Chrome 110.0.0.0,,,2023-03-05 22:43:31,2023-03-05 22:43:32,0.507s,PASSED
"verifyElementPresent(findTestObject(""Page_Faktoriall/div_Please enter an integer""), 0)",Chrome 110.0.0.0,,,2023-03-05 22:43:32,2023-03-05 22:43:33,0.537s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:43:33,2023-03-05 22:43:33,0.451s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-05 22:43:33,2023-03-05 22:43:35,2.005s,PASSED
,,,,,,,
Test Cases/Click Hyperlink Privacy Policy,Chrome 110.0.0.0,,,2023-03-05 22:43:35,2023-03-05 22:43:45,9.593s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:43:35,2023-03-05 22:43:38,2.447s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:43:38,2023-03-05 22:43:41,2.865s,PASSED
"click(findTestObject(""Page_Faktoriall/a_Privacy Policy""))",Chrome 110.0.0.0,,,2023-03-05 22:43:41,2023-03-05 22:43:41,0.547s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-05 22:43:41,2023-03-05 22:43:44,3.006s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:43:44,2023-03-05 22:43:45,0.465s,PASSED
,,,,,,,
Test Cases/Click Hyperlink Terms of Service,Chrome 110.0.0.0,,,2023-03-05 22:43:45,2023-03-05 22:43:54,9.062s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:43:45,2023-03-05 22:43:47,2.163s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:43:47,2023-03-05 22:43:50,2.523s,PASSED
"click(findTestObject(""Page_Faktoriall/a_Terms Of Service""))",Chrome 110.0.0.0,,,2023-03-05 22:43:50,2023-03-05 22:43:50,0.598s,PASSED
delay(3),Chrome 110.0.0.0,,,2023-03-05 22:43:50,2023-03-05 22:43:53,3.008s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:43:53,2023-03-05 22:43:54,0.503s,PASSED
